Date,Open,High,Low,Close,Volume
2026-01-15 00:00:00+01:00,6957.25,6961.0,6954.25,6959.25,3203
2026-01-15 00:07:00+01:00,6959.0,6959.0,6953.0,6956.75,2247
2026-01-15 00:14:00+01:00,6956.5,6959.75,6951.0,6951.0,2645
2026-01-15 00:21:00+01:00,6951.25,6955.25,6949.5,6955.0,1824
2026-01-15 00:28:00+01:00,6954.75,6960.0,6954.5,6959.0,2231
2026-01-15 00:35:00+01:00,6958.75,6959.5,6956.75,6958.0,964
2026-01-15 00:42:00+01:00,6957.75,6958.25,6955.75,6958.0,839
2026-01-15 00:49:00+01:00,6958.0,6961.0,6958.0,6960.5,885
2026-01-15 00:56:00+01:00,6960.5,6960.5,6958.5,6958.5,873
2026-01-15 01:03:00+01:00,6958.75,6960.25,6958.0,6958.25,1142
2026-01-15 01:10:00+01:00,6958.5,6959.5,6957.75,6958.25,533
2026-01-15 01:17:00+01:00,6958.0,6958.5,6956.0,6957.25,712
2026-01-15 01:24:00+01:00,6957.5,6958.5,6955.5,6957.5,673
2026-01-15 01:31:00+01:00,6957.5,6958.25,6957.25,6958.25,397
2026-01-15 01:38:00+01:00,6958.0,6958.75,6957.75,6958.5,298
2026-01-15 01:45:00+01:00,6958.75,6960.0,6958.0,6958.25,712
2026-01-15 01:52:00+01:00,6958.25,6958.25,6955.75,6956.75,654
2026-01-15 01:59:00+01:00,6956.75,6965.25,6956.0,6963.25,2585
2026-01-15 02:06:00+01:00,6963.0,6964.75,6961.5,6962.75,1025
2026-01-15 02:13:00+01:00,6962.5,6963.25,6959.25,6960.0,1033
2026-01-15 02:20:00+01:00,6960.25,6962.25,6959.25,6960.5,673
2026-01-15 02:27:00+01:00,6960.75,6962.5,6952.5,6953.5,1763
2026-01-15 02:34:00+01:00,6953.5,6959.25,6953.0,6959.0,1505
2026-01-15 02:41:00+01:00,6959.0,6963.0,6958.5,6962.5,1613
2026-01-15 02:48:00+01:00,6962.75,6962.75,6961.5,6962.0,377
2026-01-15 02:55:00+01:00,6962.25,6964.75,6962.25,6963.5,1130
2026-01-15 03:02:00+01:00,6963.5,6964.5,6962.0,6963.5,444
2026-01-15 03:09:00+01:00,6963.5,6964.75,6963.0,6964.5,377
2026-01-15 03:16:00+01:00,6964.25,6964.5,6960.5,6961.0,749
2026-01-15 03:23:00+01:00,6961.0,6962.25,6960.0,6960.0,488
2026-01-15 03:30:00+01:00,6960.5,6961.25,6959.0,6959.25,628
2026-01-15 03:37:00+01:00,6959.5,6960.75,6958.0,6959.75,560
2026-01-15 03:44:00+01:00,6959.75,6960.25,6958.0,6960.0,408
