Date,Open,High,Low,Close,Volume
2026-01-15 00:00:00+01:00,97445.0,97445.0,97000.0,97410.0,309
2026-01-15 00:05:00+01:00,97450.0,97630.0,97410.0,97580.0,412
2026-01-15 00:10:00+01:00,97565.0,97645.0,97505.0,97595.0,204
2026-01-15 00:15:00+01:00,97585.0,97745.0,97510.0,97525.0,150
2026-01-15 00:20:00+01:00,97510.0,97585.0,97470.0,97470.0,110
2026-01-15 00:25:00+01:00,97470.0,97495.0,97275.0,97275.0,266
2026-01-15 00:30:00+01:00,97285.0,97330.0,97135.0,97220.0,214
2026-01-15 00:35:00+01:00,97275.0,97430.0,97270.0,97360.0,148
2026-01-15 00:40:00+01:00,97365.0,97375.0,97295.0,97320.0,81
2026-01-15 00:45:00+01:00,97300.0,97350.0,97285.0,97335.0,83
2026-01-15 00:55:00+01:00,97290.0,97315.0,97180.0,97230.0,42
2026-01-15 01:00:00+01:00,97230.0,97240.0,97055.0,97095.0,169
2026-01-15 01:05:00+01:00,97100.0,97170.0,97040.0,97100.0,101
2026-01-15 01:10:00+01:00,97120.0,97300.0,97045.0,97265.0,464
2026-01-15 01:15:00+01:00,97255.0,97290.0,97085.0,97100.0,91
2026-01-15 01:20:00+01:00,97090.0,97135.0,96950.0,97060.0,204
2026-01-15 01:25:00+01:00,97085.0,97085.0,96925.0,97030.0,93
2026-01-15 01:30:00+01:00,97035.0,97035.0,96835.0,96870.0,165
2026-01-15 01:35:00+01:00,96865.0,96880.0,96780.0,96835.0,63
2026-01-15 01:40:00+01:00,96870.0,96945.0,96800.0,96900.0,654
2026-01-15 01:45:00+01:00,96910.0,96950.0,96700.0,96865.0,1324
2026-01-15 01:50:00+01:00,96870.0,96870.0,96780.0,96780.0,34
2026-01-15 01:55:00+01:00,96780.0,96940.0,96765.0,96925.0,84
2026-01-15 02:00:00+01:00,96990.0,97235.0,96970.0,97200.0,244
2026-01-15 02:05:00+01:00,97180.0,97250.0,97060.0,97070.0,63
2026-01-15 02:10:00+01:00,97085.0,97120.0,97025.0,97025.0,44
2026-01-15 02:15:00+01:00,97000.0,97055.0,96985.0,97020.0,45
2026-01-15 02:20:00+01:00,96970.0,96980.0,96750.0,96750.0,145
2026-01-15 02:25:00+01:00,96840.0,96920.0,96675.0,96675.0,318
2026-01-15 02:30:00+01:00,96680.0,96795.0,96570.0,96595.0,264
2026-01-15 02:35:00+01:00,96595.0,96875.0,96565.0,96800.0,436
2026-01-15 02:40:00+01:00,96790.0,96825.0,96725.0,96765.0,68
2026-01-15 02:50:00+01:00,96720.0,96855.0,96660.0,96795.0,152
2026-01-15 02:55:00+01:00,96785.0,96785.0,96680.0,96725.0,50
2026-01-15 03:00:00+01:00,96695.0,96765.0,96695.0,96725.0,30
2026-01-15 03:05:00+01:00,96725.0,96885.0,96725.0,96860.0,76
2026-01-15 03:10:00+01:00,96840.0,96840.0,96615.0,96625.0,59
2026-01-15 03:15:00+01:00,96635.0,96875.0,96635.0,96850.0,65
2026-01-15 03:20:00+01:00,96855.0,96855.0,96690.0,96745.0,105
2026-01-15 03:25:00+01:00,96780.0,96810.0,96755.0,96800.0,38
2026-01-15 03:30:00+01:00,96810.0,96910.0,96620.0,96620.0,73
2026-01-15 03:35:00+01:00,96645.0,96645.0,96270.0,96535.0,1164
2026-01-15 03:40:00+01:00,96545.0,96660.0,96540.0,96575.0,62
2026-01-15 03:45:00+01:00,96575.0,96580.0,96405.0,96505.0,144
2026-01-15 03:50:00+01:00,96510.0,96545.0,96420.0,96435.0,83
2026-01-15 03:55:00+01:00,96420.0,96595.0,96420.0,96590.0,133
2026-01-15 04:05:00+01:00,96555.0,96645.0,96435.0,96465.0,60
2026-01-15 04:10:00+01:00,96490.0,96590.0,96490.0,96520.0,257
2026-01-15 04:15:00+01:00,96505.0,96635.0,96385.0,96425.0,146
2026-01-15 04:25:00+01:00,96440.0,96440.0,96135.0,96145.0,307
2026-01-15 04:30:00+01:00,96135.0,96345.0,96130.0,96290.0,101
2026-01-15 04:35:00+01:00,96240.0,96320.0,96035.0,96060.0,355
2026-01-15 04:40:00+01:00,96040.0,96175.0,95975.0,96140.0,165
2026-01-15 04:45:00+01:00,96125.0,96230.0,96060.0,96185.0,175
2026-01-15 04:50:00+01:00,96160.0,96160.0,96050.0,96115.0,49
2026-01-15 04:55:00+01:00,96110.0,96245.0,96110.0,96200.0,73
2026-01-15 05:00:00+01:00,96195.0,96360.0,96170.0,96360.0,51
2026-01-15 05:05:00+01:00,96335.0,96335.0,96235.0,96300.0,47
2026-01-15 05:15:00+01:00,96280.0,96340.0,96255.0,96325.0,16
2026-01-15 05:20:00+01:00,96310.0,96615.0,96300.0,96605.0,155
2026-01-15 05:25:00+01:00,96565.0,96600.0,96455.0,96495.0,183
2026-01-15 05:30:00+01:00,96420.0,96545.0,96405.0,96495.0,90
2026-01-15 05:35:00+01:00,96505.0,96520.0,96455.0,96510.0,55
2026-01-15 05:45:00+01:00,96480.0,96510.0,96420.0,96475.0,33
2026-01-15 05:55:00+01:00,96470.0,96540.0,96390.0,96530.0,203
2026-01-15 06:00:00+01:00,96510.0,96725.0,96505.0,96630.0,243
2026-01-15 06:05:00+01:00,96635.0,96675.0,96595.0,96600.0,99
